,reef_id,average_bleaching,clim_sst,latitude,longitude,year,yellowfin_tuna_sum_effort,yellowfin_tuna_rate_norm,mackerel_sum_effort,mackerel_rate_norm,skipjack_tuna_sum_effort,skipjack_tuna_rate_norm
1,102.40.2.9E.5.56.28.4N,1,303.57,5.941222222,102.6674722,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
2,102.40.2.9E.5.56.28.4N,0.75,303.57,5.941222222,102.6674722,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
3,102.43.23.4E.5.55.53.7N,0.5,303.35,5.931583333,102.7231667,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
4,102.43.23.4E.5.55.53.7N,0.5,303.35,5.931583333,102.7231667,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
5,102.45.30.3E.5.55.23.7N,2,303.66,5.92325,102.7584167,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
6,102.45.30.3E.5.55.23.7N,2.125,303.66,5.92325,102.7584167,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
7,103.01.41E.5.45.44N,0,262.15,5.762222222,103.0280556,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
8,103.01.41E.5.45.44N,0,262.15,5.762222222,103.0280556,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
9,103.02.02E.5.46.38N,0,301.79,5.777222222,103.0338889,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
10,103.02.04E.5.46.10N,1,301.79,5.769444444,103.0344444,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
11,103.02.08E.5.46.07N,0,301.79,5.768611111,103.0355556,2003,163.2165868,0.454263267,163.2165868,0.000144593,163.2165868,0.045084266
